Job;Company;City;Work Type;Work Model;Salary;Experience Level;Skills
DevOps Azure (H/F);LabelVie;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Entry level;Comic Books, Compellent, Convincing People, Paper Prototyping, Technology Intelligence, ?????????, ???????, ???????, ???????? ????????, and ???? ????? ????? ???????? (DBMS)
Chef de projet Billing SI et d�veloppement Services;Orange Maroc;Prefecture of Casablanca, Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Associate;Digital Technology, High Level Of Accuracy, ????? ?????????, ????? ???????, ?????????, ??????? ??? ?????, ????????, ??????, ?????? ??????, and ?????? ??????? ??? ???????
Animateur Optimisation Economique Cellule H/F;SEGULA Technologies;Mechouar, Casablanca-Settat, Morocco (On-site);Entry level;On-site;;Mid-Senior level;Bitbucket, Cucumber, Java, Python, ??????, ??????????, ?????????, ??? ???, ????? ?????? ??????, and ????? ????????
 Leader Technique Windev (F/H) ;CGI;Casablanca-Settat, Morocco (Hybrid);Entry level;Hybrid;;Associate;Esprit, PostgreSQL, Sprint Planning, ???????? ???????, ???????? ????????, ???????, ?????????? ????????, ??? ???????/????????, ?????? ??????? ??? ???????, and ????? ????????
Proxy Product Owner Pricing (H/F);LabelVie;Casablanca-Settat, Morocco (On-site);Full-time;On-site;;Associate;CSS, HTML5, JavaScript, JavaScript Frameworks, NestJS, PostgreSQL, TypeORM, ?????? ??????, ??????? ??????, and ????? ??????? ??????
 Expert Test et Automatisation (F/H);CGI;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Associate;????? ????????, ??????, ??????????, ?????????, ????????, ????????, ???????? ?????????, ?????? ???, ???? ??????, and ????? ?????? ??????? ?????? ?????????
Ing�nieur Test et Automatisation Confirm� (F/H) - Rabat (Maroc);Cegedim;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;Mid-Senior level;.NET
D�veloppeur Javascript confirm� VueJs/React/NestJs (H/F)-RABAT-MAROC;Cegedim;Rabat, Rabat-Sal�-Kenitra, Morocco;Full-time;;;Mid-Senior level;Digital Technology, ????? ?????????, ??????????, ?????????, ???? ?????????? ??? ????????, ??????? ????????, ???????, ????????, ???????, and ???????? ?????????
Problem Engineer;ALTEN;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Contingency, Margin Analysis, ????? ?????? ???????, ?????? ?? ???????, ?????? ??????, ????????, ???????, ????? ???????, ????? ???????, and ?????? ???????
Dev Fullstack Java/React;DXC Technology Morocco;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Associate;DSI, ?????????, ????? ???????, ?????? ???????, ???????? ?????????, ???????? ????????, ????? ????? ?????????, ??? ?? ???????, ?????? ????????, and ???? ????? ????? ???????? (DBMS)
Project Manager;Orange Business Maroc;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Associate;DAX, Microsoft Excel, Microsoft Power BI, and ????? ???????? ??????? ????????
Senior Cost Controller;JESA S.A;Casablanca, Casablanca-Settat, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Angular, CMS, CSS, Git, HTML, JavaScript, Vue.js, ?????? ??????? ????????, ????? ??? ??????, and ???? ???? ????? ???????
Stage Audit IT F/H;Deloitte;Mechouar, Casablanca-Settat, Morocco (Hybrid);Mid-Senior level;Hybrid;;Associate;Python, R, VBA, VBA Excel, and ???????
Report Designer (M/F);Orange Business Maroc;Rabat, Rabat-Sal�-Kenitra, Morocco (Hybrid);Full-time;Hybrid;;Mid-Senior level;Hypertext Transfer Protocol (HTTP), Iperf, L2TP, Process Explorer, Procmon, Tcpdump, Technical Advisory, ?????????, ??????????, and ?????????
Senior Front-end Developer;Leyton;Casablanca Metropolitan Area (Hybrid);Full-time;Hybrid;;Mid-Senior level;Meeting Facilitation, Supplier Management, ????? ?????, ??????? ??????? ????? ????????, ???????, ???????, ????? ???????, ???? ??? ?????, ????? ??? ???, and ????? ????????
